시군구,번지,단지명,전용면적(㎡),계약년월,거래금액,층,건축년도,도로명,전용평,전용평당,공급평당,위도,경도
부산광역시 동래구 온천동,460-6,온천동유림노르웨이숲,68.4625,202507.0,40700.0,29.0,2018.0,중앙대로 1453,20.71,1965.23,1473.92,35.2163510591862,129.081843948861
부산광역시 북구 만덕동,955,백양디이스트(1단지),84.9944,202507.0,35300.0,8.0,2015.0,덕천로276번길 60,25.71,1373.01,1029.76,35.2058687951711,129.033190025409
부산광역시 남구 용호동,176-30,엘지메트로시티4-2(215~220동),145.918,202507.0,71000.0,23.0,2003.0,분포로 113,44.14,1608.52,1206.39,35.1272669147748,129.109040555258
부산광역시 금정구 장전동,745,래미안장전,102.81,202507.0,125000.0,29.0,2017.0,금정로 20,31.1,4019.29,3014.47,35.2275922774064,129.086740141721
부산광역시 금정구 장전동,713,장전동금정산SKVIEW,101.881,202507.0,57500.0,5.0,2010.0,식물원로 64,30.82,1865.67,1399.25,35.2274003225827,129.079328508594
부산광역시 남구 용호동,980,데시앙해링턴플레이스파크시티,59.9725,202507.0,37000.0,17.0,2023.0,용주로 36,18.14,2039.69,1529.77,35.1126137352917,129.113230004297
부산광역시 수영구 광안동,1330,쌍용예가디오션,84.9897,202507.0,120000.0,34.0,2014.0,광안로 20,25.71,4667.44,3500.58,35.1560597268621,129.114667093976
부산광역시 북구 덕천동,814-4,기비골마을,44.87,202507.0,11600.0,14.0,1994.0,만덕1로104번길 29,13.57,854.83,641.12,35.2160617248043,129.023770929231
부산광역시 해운대구 반여동,1641,센텀롯데캐슬3차아파트,84.9798,202507.0,40000.0,18.0,2005.0,반여로 83,25.71,1555.82,1166.86,35.1993678928106,129.121211096777
부산광역시 해운대구 반여동,1691,센텀KCC스위첸,84.91,202507.0,67000.0,22.0,2022.0,반여로 42,25.69,2608.02,1956.02,35.1957283041092,129.121810026548
부산광역시 해운대구 반여동,1619,센텀롯데캐슬아파트,84.97,202507.0,37500.0,14.0,2004.0,반여로 133,25.7,1459.14,1094.36,35.2048510083995,129.123877307552
부산광역시 해운대구 반여동,1660,센텀롯데캐슬2차,84.97,202507.0,32500.0,18.0,2005.0,반여로 68-12,25.7,1264.59,948.44,35.1974725711421,129.124845431852
부산광역시 해운대구 반여동,1477-1,왕자,65.16,202507.0,42000.0,2.0,1979.0,선수촌로 9,19.71,2130.9,1598.18,35.1943644540504,129.117825281987
부산광역시 동구 좌천동,1170,좌천서린엘마르더뷰,59.8947,202507.0,25400.0,4.0,2018.0,망양로 850,18.12,1401.77,1051.33,35.1358411351987,129.04739977759
부산광역시 수영구 민락동,765,부산더샵센텀포레,84.9112,202507.0,77650.0,4.0,2014.0,수영로 776,25.69,3022.58,2266.94,35.1665131584013,129.12203899217
부산광역시 기장군 기장읍 교리,268,부전타워,83.61,202507.0,16500.0,7.0,1992.0,차성동로178번길 23,25.29,652.43,489.32,35.2538073292995,129.219441856224
부산광역시 해운대구 재송동,1026-1,시영80년,43.9,202507.0,11800.0,3.0,1981.0,재반로165번길 82,13.28,888.55,666.41,35.1922705324306,129.125143200975
부산광역시 남구 용호동,980,데시앙해링턴플레이스파크시티,84.7222,202507.0,56500.0,16.0,2023.0,용주로 36,25.63,2204.45,1653.34,35.1126137352917,129.113230004297
부산광역시 동구 범일동,1664,두산위브더제니스하버시티,75.5531,202507.0,65000.0,37.0,2023.0,범일로 21,22.85,2844.64,2133.48,35.1326704859309,129.057266019849
부산광역시 수영구 망미동,1154,이편한세상1차,84.9357,202507.0,43000.0,10.0,2004.0,좌수영로 176,25.69,1673.8,1255.35,35.1793315555201,129.117663405744
부산광역시 동래구 안락동,472-57,안락SKVIEW,134.97,202507.0,54900.0,16.0,1999.0,충렬대로 487,40.83,1344.6,1008.45,35.1948135944524,129.111846754195
부산광역시 서구 토성동1가,25-1,토성동경동리인타워,72.1673,202507.0,53000.0,36.0,2018.0,보수대로 27,21.83,2427.85,1820.89,35.0992716554642,129.024246029705
부산광역시 금정구 구서동,252-7,한일,41.02,202507.0,17000.0,4.0,1982.0,금강로468번길 19,12.41,1369.86,1027.4,35.2486978003295,129.089478620988
부산광역시 남구 용호동,980,데시앙해링턴플레이스파크시티,59.9725,202507.0,36700.0,15.0,2023.0,용주로 36,18.14,2023.15,1517.36,35.1126137352917,129.113230004297
부산광역시 동래구 명장동,623,e편한세상동래명장1단지,76.33,202507.0,52000.0,29.0,2019.0,명장로 65,23.09,2252.06,1689.04,35.2051196931617,129.105513244994
부산광역시 동래구 명장동,617,동래동일스위트,67.8923,202507.0,31000.0,15.0,2018.0,시실로 119,20.54,1509.25,1131.94,35.2134812754542,129.094163965264
부산광역시 부산진구 개금동,455,엘지신개금(2-1),84.99,202507.0,35000.0,10.0,1998.0,백양대로300번길 20,25.71,1361.34,1021.0,35.1550481097082,129.019243033247
부산광역시 부산진구 개금동,455,엘지신개금(2-1),59.99,202507.0,24800.0,6.0,1998.0,백양대로300번길 20,18.15,1366.39,1024.79,35.1550481097082,129.019243033247
부산광역시 부산진구 개금동,875,개금역금강펜테리움더스퀘어아파트,84.9925,202507.0,62000.0,19.0,2018.0,가야대로 450,25.71,2411.51,1808.63,35.1528383260911,129.021227204738
부산광역시 남구 용호동,980,데시앙해링턴플레이스파크시티,59.9725,202507.0,38000.0,30.0,2023.0,용주로 36,18.14,2094.82,1571.12,35.1126137352917,129.113230004297
부산광역시 해운대구 중동,1793,해운대래미안,84.9872,202507.0,74500.0,32.0,2014.0,좌동순환로 402,25.71,2897.71,2173.28,35.1640129176826,129.176736798264
부산광역시 영도구 청학동,446-4,청학스카이파크,84.06,202507.0,20000.0,4.0,2003.0,청학남로13번길 11,25.43,786.47,589.85,35.0905588211539,129.059041755732
부산광역시 사하구 다대동,1667,다대푸르지오,84.9928,202507.0,37700.0,9.0,2012.0,윤공단로 123,25.71,1466.36,1099.77,35.0612770368886,128.974556555764
부산광역시 기장군 정관읍 방곡리,380,가화만사성정관타운,59.9193,202507.0,16000.0,10.0,2014.0,방곡로 39,18.13,882.52,661.89,35.3270913932754,129.189292074257
부산광역시 부산진구 당감동,518,개금주공3단지(518-0),59.39,202507.0,16000.0,3.0,1989.0,백양관문로 10,17.97,890.37,667.78,35.1613968466179,129.032430795113
부산광역시 부산진구 부암동,500,화승,59.8,202507.0,21000.0,18.0,1997.0,당감로 80,18.09,1160.86,870.64,35.1683192974432,129.038946135466
부산광역시 부산진구 부암동,755,시민공원삼정그린코아더베스트,59.8124,202507.0,36000.0,9.0,2022.0,동평로 176,18.09,1990.05,1492.54,35.1660600067515,129.049834042261
부산광역시 해운대구 좌동,1419,롯데4,59.6,202507.0,36200.0,20.0,1999.0,좌동순환로217번길 8,18.03,2007.76,1505.82,35.1756278882584,129.181136503358
부산광역시 영도구 동삼동,1195,오션라이프에일린의뜰1단지,74.9731,202507.0,39500.0,10.0,2024.0,태종로 611,22.68,1741.62,1306.22,35.0757047619684,129.074573894336
부산광역시 영도구 동삼동,510-33,국제마마뉴비치타운,146.99,202507.0,28500.0,3.0,1995.0,중리로 32,44.46,641.03,480.77,35.0724791628311,129.069240000023
부산광역시 해운대구 좌동,1419,롯데4,59.76,202507.0,32500.0,15.0,1999.0,좌동순환로217번길 8,18.08,1797.57,1348.18,35.1756278882584,129.181136503358
부산광역시 해운대구 좌동,1331,상록,59.85,202507.0,26800.0,15.0,1998.0,세실로 7,18.1,1480.66,1110.5,35.1653958910219,129.179717596926
부산광역시 기장군 정관읍 용수리,1403,정관신도시한진해모로,122.9131,202507.0,42500.0,9.0,2008.0,정관로 548,37.18,1143.09,857.32,35.3224848115304,129.172829068827
부산광역시 해운대구 좌동,1278,LH뜨란채아파트,59.98,202507.0,25000.0,14.0,1997.0,대천로67번길 18,18.14,1378.17,1033.63,35.1738310496907,129.168251250103
부산광역시 해운대구 좌동,1323,한라,134.97,202507.0,61000.0,9.0,1996.0,좌동순환로 280,40.83,1494.0,1120.5,35.1708944323831,129.182319943856
부산광역시 연제구 연산동,30-1,대우,53.676,202507.0,15000.0,4.0,2000.0,토곡남로 15,16.24,923.65,692.74,35.1808424143202,129.104366104872
부산광역시 연제구 연산동,2352,연산더샵,59.8812,202507.0,52500.0,22.0,2019.0,연수로 130,18.11,2898.95,2174.21,35.1734591,129.0845032
부산광역시 연제구 연산동,2352,연산더샵,84.9819,202507.0,64800.0,22.0,2019.0,연수로 130,25.71,2520.42,1890.32,35.1734591,129.0845032
부산광역시 연제구 연산동,2322,브라운스톤연제1단지,84.9558,202507.0,52000.0,8.0,2016.0,연제로8번길 29,25.7,2023.35,1517.51,35.1781292696525,129.077732458495
부산광역시 연제구 연산동,2311,더샵파크시티,84.98,202507.0,64000.0,3.0,2015.0,안연로 33,25.71,2489.3,1866.98,35.1920267807262,129.095534227204
부산광역시 연제구 연산동,129,센텀수영강푸르지오,59.9616,202507.0,31000.0,8.0,2007.0,고분로 270,18.14,1708.93,1281.7,35.1841843772232,129.112027364641
부산광역시 기장군 정관읍 모전리,776,정관동일스위트2차,59.9337,202507.0,19000.0,19.0,2013.0,정관3로 23,18.13,1047.99,785.99,35.3284797639747,129.165298856214
부산광역시 중구 대청동4가,34-2,동호이루마시티,84.2,202507.0,24500.0,2.0,2006.0,중구로97번길 3,25.47,961.92,721.44,35.105367393454,129.030930147158
부산광역시 사하구 장림동,372-4,장림현대(372-4),61.08,202507.0,12000.0,5.0,1989.0,다대로 301,18.48,649.35,487.01,35.0736843186045,128.97719060866
