"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-06-01 ~ 2025-07-11"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"113","부산광역시 북구 만덕동","958","0958","0000","백양디이스트(2단지)","84.9913","202507","07","30,000","-","1","개인","개인","2015","덕천로276번길 85","-","중개거래","부산 북구","-"
"114","부산광역시 북구 금곡동","1898","1898","0000","화명한일유앤아이","59.7900","202507","07","26,100","-","2","개인","개인","2002","화명신도시로 194","-","중개거래","부산 북구","-"
"115","부산광역시 동구 초량동","1166-1","1166","0001","센트럴베이동원로얄듀크비스타","84.9630","202507","07","36,800","-","11","개인","개인","2011","중앙대로286번길 10","-","중개거래","부산 동구","-"
"116","부산광역시 금정구 장전동","717","0717","0000","벽산블루밍장전디자인시티2단지","67.4100","202507","07","42,500","-","8","개인","개인","2012","금강로 225","-","중개거래","부산 금정구","-"
"117","부산광역시 금정구 장전동","710","0710","0000","금정힐스테이트","130.5613","202507","07","57,000","-","7","개인","개인","2010","금강로335번길 90","-","중개거래","부산 금정구","-"
"118","부산광역시 남구 문현동","1234","1234","0000","베스티움","59.9574","202507","07","48,700","-","25","개인","개인","2019","고동골로 29","-","중개거래","부산 남구","-"
"119","부산광역시 강서구 명지동","3243","3243","0000","엘크루블루오션","124.4700","202507","07","65,000","-","7","개인","개인","2012","명지오션시티6로 33","-","중개거래","부산 강서구","-"
"120","부산광역시 강서구 명지동","3328","3328","0000","명지협성휴포레","54.3113","202507","07","26,000","-","17","개인","개인","2016","명지국제5로 141","-","직거래","-","-"
"121","부산광역시 동래구 명장동","623","0623","0000","e편한세상동래명장1단지","76.2200","202507","07","52,000","-","23","개인","개인","2019","명장로 65","-","중개거래","부산 동래구","-"
"122","부산광역시 사하구 장림동","2","0002","0000","경동메르빌아파트","59.9590","202507","07","10,050","-","13","개인","개인","2002","다대로277번길 124","-","중개거래","부산 사하구","-"
"123","부산광역시 해운대구 재송동","939-2","0939","0002","센텀이편한세상","73.4050","202507","07","56,000","-","8","개인","개인","2006","해운대로76번길 55","-","중개거래","부산 해운대구","-"
"124","부산광역시 해운대구 재송동","1023","1023","0000","센텀삼익아파트","70.5800","202507","07","21,800","-","12","개인","개인","1981","해운대로61번가길 6","-","중개거래","부산 해운대구","-"
"125","부산광역시 금정구 남산동","115-4","0115","0004","남석빌라","110.2300","202507","07","18,000","-","6","개인","개인","1992","중앙대로2035번길 37","-","중개거래","부산 금정구","-"
"126","부산광역시 기장군 정관읍 방곡리","378","0378","0000","부산정관지구이지더원5차아파트","68.4140","202507","07","21,000","-","15","개인","개인","2015","방곡로 29","-","중개거래","부산 기장군","-"
"127","부산광역시 연제구 연산동","2362","2362","0000","시청역비스타동원","84.9890","202507","07","58,000","-","10","개인","개인","2019","연제로 30","-","중개거래","부산 연제구","-"
"128","부산광역시 동래구 사직동","1017","1017","0000","사직쌍용예가","59.9370","202507","07","32,500","-","7","개인","개인","2006","사직로 80","-","중개거래","부산 동래구, 부산 해운대구","-"
"129","부산광역시 동래구 사직동","1017","1017","0000","사직쌍용예가","84.9650","202507","07","43,500","-","25","개인","개인","2006","사직로 80","-","중개거래","부산 동래구","-"
"130","부산광역시 동구 범일동","26-8","0026","0008","서면베스티움더시티","49.0200","202507","07","21,000","-","7","개인","개인","2021","중앙대로 539","-","중개거래","부산 남구, 부산 동구","-"
"131","부산광역시 동구 범일동","1664","1664","0000","두산위브더제니스하버시티","59.8757","202507","07","46,800","-","26","개인","개인","2023","범일로 21","-","중개거래","부산 부산진구","-"
"132","부산광역시 연제구 연산동","304-1","0304","0001","경동","84.8700","202507","07","26,000","-","19","개인","개인","1994","과정로344번길 50","-","중개거래","부산 연제구","-"
"133","부산광역시 사하구 다대동","948-1","0948","0001","조성","49.8700","202507","07","6,000","-","5","개인","개인","1990","윤공단로17번길 103","-","직거래","-","-"
